   j           U(j)
   1     33.000000000000
   2     34.604294011606
   3     17.245072606579
   4     11.460468173024
   5      9.043743624502
   6      6.786779526457
   7      6.274493713869
   8      4.751180819055
   9      4.862742340211
  10      3.594347129988
  11      3.993390123649
  12      2.836277793516
  13      3.394569887802
  14      2.292183824905
  15      2.949606295754
  16      1.875660165216
  17      2.600000629444
  18      1.540789435293
  19      2.313086658047
  20      1.260805225636
  21      2.069086365779
  22      1.018940141376
  23      1.855218304059
  24      0.804039539135
  25      1.662742116337
  26      0.608269222101
  27      1.485355028065
  28      0.425827414760
  29      1.318260026416
  30      0.252170859970
  31      1.157586373254
  32      0.083515438290
  33      0.999999999998
  34     -0.083515722508
  35      0.842413606808
  36     -0.252171109750
  37      0.681739892953
  38     -0.425827594308
  39      0.514644787072
  40     -0.608269292748
  41      0.337257545967
  42     -0.804039457450
  43      0.144781148726
  44     -1.018939856615
  45     -0.069087191652
  46     -1.260804676051
  47     -0.313087850914
  48     -1.540788542434
  49     -0.600002307967
  50     -1.875658824592
  51     -0.949608628573
  52     -2.292181889644
  53     -1.394573131156
  54     -2.836275043361
  55     -1.993394701077
  56     -3.594343206237
  57     -2.862749036114
  58     -4.751175067568
  59     -4.274504247090
  60     -6.786770530966
  61     -7.043763001149
  62    -11.460451767466
  63    -15.245128074055
  64    -34.604242756727

