BRNSNC brn_ts_0_sig brn_id_0_sig brn_ts_3_sig brn_id_3_sig brn_ts_5_sig brn_id_5_sig brn_ts_8_sig brn_id_8_sig brn_ts_10_sig brn_id_10_sig brn_ts_15_sig brn_id_15_sig brn_ts_20_sig brn_id_20_sig brn_ts_25_sig brn_id_25_sig brn_ts_30_sig brn_id_30_sig brn_ts_35_sig brn_id_35_sig brn_ts_+0C brn_id_+0C brn_ts_+2C brn_id_+2C brn_ts_+4C brn_id_+4C brn_ts_+6C brn_id_+6C brn_ts_+8C brn_id_+8C brn_ts_+10C brn_id_+10C brn_ts_+12.5C brn_id_+12.5C brn_ts_+15C brn_id_+15C brn_ts_+17.5C brn_id_+17.5C brn_ts_+20C brn_id_+20C
B01A1 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:15:36.300" 25878.0 "2018-03-05 14:18:47.600" 27791.0 "2018-03-05 14:20:37.600" 28891.0 "2018-03-05 14:20:37.900" 28894.0 "2018-03-05 14:41:14.600" 41261.0 "2018-03-05 14:41:14.900" 41264.0 "2018-03-05 14:41:15.000" 41265.0 "2018-03-05 14:50:16.600" 46681.0 "2018-03-05 14:59:18.700" 52102.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:20:37.600" 28891.0 "2018-03-05 14:41:14.600" 41261.0 "2018-03-05 14:41:15.000" 41265.0 "2018-03-05 14:50:16.600" 46681.0 "2018-03-05 14:59:18.700" 52102.0 "2018-03-05 14:59:18.700" 52102.0 "2018-03-05 14:59:19.600" 52111.0 "2018-03-05 14:59:19.600" 52111.0 "2018-03-05 14:59:19.600" 52111.0
B01A2 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:29.500" 21010.0 "2018-03-05 14:18:26.200" 27577.0 "2018-03-05 14:20:31.500" 28830.0 "2018-03-05 14:20:31.500" 28830.0 "2018-03-05 14:20:31.500" 28830.0 "2018-03-05 14:20:31.600" 28831.0 "2018-03-05 14:40:42.300" 40938.0 "2018-03-05 15:04:59.100" 55506.0 "2018-03-05 15:04:59.100" 55506.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:20:31.500" 28830.0 "2018-03-05 14:20:31.500" 28830.0 "2018-03-05 14:20:31.600" 28831.0 "2018-03-05 15:04:59.100" 55506.0 "2018-03-05 15:04:59.100" 55506.0 "2018-03-05 15:04:59.200" 55507.0 "2018-03-05 15:11:58.100" 59696.0 "2018-03-05 15:11:58.100" 59696.0 "2018-03-05 15:15:23.400" 61749.0
B01A3 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:29.500" 21010.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:49.100" 22406.0 NaN NaN
B01A4 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:28.900" 21004.0 "2018-03-05 14:10:09.400" 22609.0 "2018-03-05 14:10:09.400" 22609.0 "2018-03-05 14:10:09.400" 22609.0 "2018-03-05 14:10:09.400" 22609.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:10:09.400" 22609.0 "2018-03-05 14:10:09.400" 22609.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:10:09.500" 22610.0 "2018-03-05 14:10:09.700" 22612.0 "2018-03-05 14:10:09.700" 22612.0 "2018-03-05 14:10:09.700" 22612.0 "2018-03-05 14:10:09.700" 22612.0
B01B1 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:51.100" 22426.0 "2018-03-05 14:20:28.000" 28795.0 "2018-03-05 14:20:28.000" 28795.0 "2018-03-05 14:20:28.100" 28796.0 "2018-03-05 14:20:28.900" 28804.0 "2018-03-05 14:40:56.500" 41080.0 "2018-03-05 14:40:57.400" 41089.0 "2018-03-05 14:41:16.500" 41280.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:51.100" 22426.0 "2018-03-05 14:20:28.100" 28796.0 "2018-03-05 14:20:36.400" 28879.0 "2018-03-05 14:40:57.400" 41089.0 "2018-03-05 14:49:59.500" 46510.0 "2018-03-05 14:49:59.500" 46510.0 "2018-03-05 14:50:12.700" 46642.0 "2018-03-05 14:50:12.800" 46643.0 "2018-03-05 14:50:18.200" 46697.0
B01B2 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:49.700" 22412.0 "2018-03-05 14:09:49.700" 22412.0 "2018-03-05 14:09:49.700" 22412.0 "2018-03-05 14:09:49.700" 22412.0 "2018-03-05 14:10:05.900" 22574.0 "2018-03-05 14:20:26.900" 28784.0 "2018-03-05 14:20:27.000" 28785.0 "2018-03-05 14:20:32.100" 28836.0 "2018-03-05 14:20:32.100" 28836.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:49.700" 22412.0 "2018-03-05 14:09:49.700" 22412.0 "2018-03-05 14:20:26.900" 28784.0 "2018-03-05 14:20:32.100" 28836.0 "2018-03-05 14:20:32.500" 28840.0 "2018-03-05 14:20:34.100" 28856.0 "2018-03-05 14:20:34.400" 28859.0 "2018-03-05 14:20:34.400" 28859.0 "2018-03-05 14:41:31.800" 41433.0
B01B3 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:30.900" 21024.0 "2018-03-05 14:09:42.800" 22343.0 "2018-03-05 14:09:42.900" 22344.0 "2018-03-05 14:09:42.900" 22344.0 "2018-03-05 14:09:46.200" 22377.0 "2018-03-05 14:09:46.400" 22379.0 "2018-03-05 14:09:50.500" 22420.0 "2018-03-05 14:09:50.500" 22420.0 "2018-03-05 14:09:50.600" 22421.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:42.900" 22344.0 "2018-03-05 14:09:46.200" 22377.0 "2018-03-05 14:09:50.500" 22420.0 "2018-03-05 14:09:50.600" 22421.0 "2018-03-05 14:09:50.600" 22421.0 "2018-03-05 14:09:50.600" 22421.0 "2018-03-05 14:10:02.100" 22536.0 "2018-03-05 14:16:30.200" 26417.0 "2018-03-05 14:16:30.200" 26417.0
B01B4 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:07:31.300" 21028.0 "2018-03-05 14:09:28.900" 22204.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.500" 22460.0 "2018-03-05 14:09:54.600" 22461.0 "2018-03-05 14:09:54.600" 22461.0 "2018-03-05 14:09:54.600" 22461.0
B01C1 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:46.100" 22376.0 "2018-03-05 14:09:48.100" 22396.0 "2018-03-05 14:09:48.200" 22397.0 "2018-03-05 14:09:48.400" 22399.0 "2018-03-05 14:16:37.000" 26485.0 "2018-03-05 14:16:38.200" 26497.0 "2018-03-05 14:16:43.200" 26547.0 "2018-03-05 14:16:43.500" 26550.0 "2018-03-05 14:16:43.500" 26550.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:48.200" 22397.0 "2018-03-05 14:16:38.200" 26497.0 "2018-03-05 14:16:39.400" 26509.0 "2018-03-05 14:16:43.500" 26550.0 "2018-03-05 14:16:43.600" 26551.0 "2018-03-05 14:16:43.600" 26551.0 "2018-03-05 14:16:43.600" 26551.0 "2018-03-05 14:41:15.400" 41269.0 "2018-03-05 14:41:15.400" 41269.0
B01C2 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:45.300" 22368.0 "2018-03-05 14:09:45.400" 22369.0 "2018-03-05 14:09:45.400" 22369.0 "2018-03-05 14:09:45.500" 22370.0 "2018-03-05 14:09:46.300" 22378.0 "2018-03-05 14:09:46.500" 22380.0 "2018-03-05 14:16:11.400" 26229.0 "2018-03-05 14:16:11.400" 26229.0 "2018-03-05 14:16:20.600" 26321.0 "2018-03-05 14:07:28.500" 21000.0 "2018-03-05 14:09:45.400" 22369.0 "2018-03-05 14:09:46.300" 22378.0 "2018-03-05 14:09:46.500" 22380.0 "2018-03-05 14:16:11.400" 26229.0 "2018-03-05 14:16:20.600" 26321.0 "2018-03-05 14:16:20.600" 26321.0 "2018-03-05 14:16:30.800" 26423.0 "2018-03-05 14:16:39.100" 26506.0 "2018-03-05 14:16:39.100" 26506.0
